indonesian	russian	category	difficulty	part_of_speech	english_gloss
kebahagiaan	счастье	phrases	1	other	happiness
bahagia	счастлива	adjectives	1	adj	happy
surga	небесах	phrases	1	other	heaven
tertawa	смеяться	verbs	1	verb	laugh
sukses	успех	phrases	1	other	success
ceria	ура	phrases	1	other	cheers
cinta	люблю	phrases	1	other	love
keberhasilan	успех	phrases	1	other	success
tuhan	богом	phrases	1	other	God
menikah	женился	verbs	1	verb	married
kesuksesan	успех	phrases	1	other	success
hebat	отличная	phrases	1	other	great
berhasil	удастся	verbs	1	verb	succeed
berlibur	каникулы	verbs	1	verb	vacation
allah	богом	phrases	1	other	God
menang	победить	verbs	1	verb	win
ketawa	смех	phrases	1	other	laughter
menyenangkan	пожалуйста	greetings	1	phrase	please
dicintai	любил	verbs	1	verb	loved
kemenangan	победа	phrases	1	other	victory
senang	счастлива	adjectives	1	adj	happy
perdamaian	мирного	phrases	1	other	peace
ngakak	лол	phrases	1	other	lol
hadiah	подарок	phrases	1	other	gift
mencintai	люблю	verbs	1	verb	love
bertunangan	занимается	verbs	1	verb	engaged
kebahagian	счастье	phrases	1	other	happiness
terindah	прекрасный	adjectives	1	adj	beautiful
tersenyum	улыбка	verbs	1	verb	smile
cantik	прекрасный	adjectives	1	adj	beautiful
mencintaiku	люблю	verbs	1	verb	love
tawa	смех	phrases	1	other	laughter
keindahan	красавица	phrases	1	other	beauty
cintaku	люблю	phrases	1	other	love
indahnya	красавица	phrases	1	other	beauty
pernikahan	свадьба	phrases	1	other	wedding
terbaik	лучший	verbs	1	verb	best
keajaiban	чудо	phrases	1	other	miracle
tercinta	любимая	verbs	1	verb	beloved
ibu	матерью	family	1	noun	mother
jenius	гений	phrases	1	other	genius
liburan	праздник	phrases	1	other	holiday
menyayangi	люблю	verbs	1	verb	love
libur	праздник	phrases	1	other	holiday
sehat	здоров	phrases	1	other	healthy
bagus	добрые	adjectives	1	adj	good
lezat	вкусно	phrases	1	other	delicious
gol	гол	phrases	1	other	goal
pintar	умный	phrases	1	other	smart
bidadari	ангел	phrases	1	other	angel
mengagumkan	классно	verbs	1	verb	awesome
sayang	уважаемые	phrases	1	other	dear
bangga	горжусь	phrases	1	other	proud
sayangku	уважаемые	phrases	1	other	dear
damai	мирного	phrases	1	other	peace
senyuman	улыбка	phrases	1	other	smile
senyum	улыбка	phrases	1	other	smile
gratis	свободной	phrases	1	other	free
menikahinya	женился	verbs	1	verb	married
asmara	люблю	phrases	1	other	love
cintai	люблю	phrases	1	other	love
keuntungan	прибыль	phrases	1	other	profit
untung	прибыль	phrases	1	other	profit
jujur	честное	phrases	1	other	honest
juara	чемпион	phrases	1	other	champion
lbu	матерью	family	1	noun	Mother
spesial	особое	phrases	1	other	special
hoki	хоккей	phrases	1	other	hockey
menikahi	женился	verbs	1	verb	married
lucu	смешно	phrases	1	other	funny
keluarga	семья	family	1	noun	family
beruntung	повезло	verbs	1	verb	lucky
kesenangan	удовольствие	phrases	1	other	pleasure
humor	шутка	phrases	1	other	joke
syukur	благодарен	greetings	1	phrase	thanks
emas	золотой	phrases	1	other	gold
bunda	матерью	family	1	noun	Mother
pandai	умная	phrases	1	other	clever
tercapai	достиг	verbs	1	verb	reached
cintamu	люблю	phrases	1	other	love
terimakasih	спасибо	greetings	1	phrase	thank you
pahlawan	герой	phrases	1	other	hero
senyummu	улыбка	phrases	1	other	smile
menciummu	поцеловать	verbs	1	verb	kiss
kencan	свидание	phrases	1	other	date
kemuliaan	честь	phrases	1	other	honor
kecantikan	красавица	phrases	1	other	beauty
ciuman	поцеловать	phrases	1	other	kiss
persahabatan	дружба	phrases	1	other	friendship
favorit	любимый	phrases	1	other	favorite
bebas	свободной	phrases	1	other	free
malaikat	ангел	phrases	1	other	angel
sahabat	друг	phrases	1	other	friend
pacar	подруга	phrases	1	other	girlfriend
keren	классные	adjectives	1	adj	cool
syukurlah	счастью	phrases	1	other	thankfully
indah	прекрасный	adjectives	1	adj	beautiful
enak	добрые	adjectives	1	adj	good
tersenyumlah	улыбка	verbs	1	verb	smile
tertinggi	лучших	verbs	1	verb	top
sayangi	уважаемые	phrases	1	other	dear
berdoa	молиться	verbs	1	verb	pray
sahabatku	друг	phrases	1	other	friend
suka	люблю	phrases	1	other	love
impian	мечта	phrases	1	other	dream
baik	добрые	adjectives	1	adj	good
wisata	тур	phrases	1	other	tour
kuat	сильный	phrases	1	other	strong
memenangkan	победить	verbs	1	verb	win
selamat	поздравления	phrases	1	other	congratulations
peluk	обнять	phrases	1	other	hug
akrab	знакомый	phrases	1	other	familiar
mencium	поцеловать	verbs	1	verb	kiss
menciumnya	поцеловать	verbs	1	verb	kiss
seneng	счастлива	adjectives	1	adj	happy
cerah	ярко	phrases	1	other	bright
menciumku	поцеловать	verbs	1	verb	kiss
merayakan	праздновать	verbs	1	verb	celebrate
semangat	духа	phrases	1	other	spirit
kebaikan	добре	phrases	1	other	goodness
amien	аминь	phrases	1	other	amen
memeluk	обнять	verbs	1	verb	hug
kebebasan	свобода	phrases	1	other	freedom
manis	милая	phrases	1	other	sweet
pelukan	обнять	phrases	1	other	hug
favoritku	любимый	phrases	1	other	favorite
bersih	чистых	verbs	1	verb	net
kelahiran	рождение	phrases	1	other	birth
jalan-jalan	гулять	verbs	1	verb	walk
menyelamatkan	спасти	verbs	1	verb	save
pinter	умная	phrases	1	other	clever
gaji	зарплату	phrases	1	other	salary
kreatif	творческой	phrases	1	other	creative
hihihi	лол	phrases	1	other	lol
panen	урожай	phrases	1	other	harvest
kebenaran	истины	phrases	1	other	truth
isteriku	женой	family	1	noun	wife
berpesta	праздновать	verbs	1	verb	celebrate
berkat	благодаря	verbs	1	verb	thanks to
bersantai	расслабиться	verbs	1	verb	relax
pesta	вечеринка	phrases	1	other	party
menolong	помогать	verbs	1	verb	help
cium	поцеловать	phrases	1	other	kiss
suci	святая	phrases	1	other	holy
gratisan	свободной	phrases	1	other	free
milyar	миллиардов	phrases	1	other	billion
setuju	согласна	phrases	1	other	agree
membaik	улучшения	verbs	1	verb	improve
baik-baik	порядке	phrases	1	other	OK
